Date ,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
01-Jul-22,15861.6,15966.05,15679.3,15925.95,662502616,32550.37
04-Jul-22,15894.7,16033.9,15844.65,16018.15,506472533,25114.55
05-Jul-22,16093.55,16209.3,15973.35,16001.6,460877735,25068.66
06-Jul-22,16009.3,16217.2,15990.15,16196.25,509781748,29706.06
07-Jul-22,16322.15,16355.75,16251.65,16339.1,537405844,27777.66
08-Jul-22,16475.85,16477.35,16353.1,16424,466291324,26001.38
11-Jul-22,16346.75,16491.1,16331.2,16465.1,474969741,28076.14
12-Jul-22,16380.15,16421.95,16293.8,16323.5,468966651,23378.99
13-Jul-22,16396.95,16411.55,16220.15,16237.25,460657028,26495.62
14-Jul-22,16294.75,16329.55,16115.65,16213.05,448960438,26821.76
15-Jul-22,16287.85,16334.65,16204.05,16317.2,438198765,25880.37
18-Jul-22,16423.85,16559.2,16415.15,16548.15,437767537,25720.07
19-Jul-22,16460.95,16634.35,16460.95,16614.05,460307041,24649.11
20-Jul-22,16829.05,16846.95,16744.3,16773.7,585700102,30439.11
21-Jul-22,16777.25,16904.4,16737.8,16881.7,444196300,28312
22-Jul-22,16940.2,17002.9,16872.4,16970.7,380785902,25046.15
25-Jul-22,16924.3,16960.3,16825.45,16892.1,613885963,26522.28
26-Jul-22,16896.4,16899,16710,16733.3,785774747,27954.21
27-Jul-22,16724,16900.95,16687.25,16889.55,736827380,24919.82
28-Jul-22,17016.1,17186.4,16985.15,17169.7,865342477,35944.72
29-Jul-22,17317.35,17413.85,17266,17400.75,855219782,37250.02
01-Aug-22,17487.65,17614.2,17396,17598.8,758307716,30796.3
02-Aug-22,17576.05,17656.9,17489.8,17618.25,1129136383,32728.33
03-Aug-22,17621.25,17665.35,17487.7,17646,1101499402,32366.56
04-Aug-22,17723.5,17753.85,17420.4,17652.95,997639204,33681.46
05-Aug-22,17699.35,17747.4,17625.35,17655.5,1079704008,32477.93
08-Aug-22,17664.2,17799.9,17621.15,17784.8,589792852,25588.64
10-Aug-22,17829.45,17829.45,17695.8,17784.9,706978275,28925.48
11-Aug-22,17955.9,17962.35,17883.1,17913.95,641188659,27609.58
12-Aug-22,17916.65,17982.9,17857.75,17956.8,853801337,27596.08
16-Aug-22,18056.25,18118.45,18028.1,18107.25,761850006,30089.29
17-Aug-22,18154.2,18258.15,18125.85,18235.55,770958783,31696.92
18-Aug-22,18195.65,18277.1,18156.3,18264.4,771766329,29266.16
19-Aug-22,18281.6,18304.7,18026.6,18071.1,815902704,34665.63
22-Aug-22,18001.3,18007.1,17767.25,17792.45,703536891,29513.94
23-Aug-22,17654.5,17926.95,17644.6,17878.4,689334291,30389.71
24-Aug-22,17832.85,17933.1,17790.9,17917.3,570026886,26750.18
25-Aug-22,17992.8,18044.85,17813.8,17847.65,592190669,26539.97
26-Aug-22,17949.1,18017.45,17855.95,17893.8,585676675,24915.38
29-Aug-22,17499.75,17730.1,17486.85,17666.45,522831347,26926.25
30-Aug-22,17776.75,18131.3,17766.85,18112.4,688366974,37000.16
01-Sep-22,17858.45,18063.9,17850.15,17924.3,709690218,35784.27
02-Sep-22,17989.5,18029.4,17871.2,17916,565765282,28125.9
05-Sep-22,17928.8,18041.65,17922.95,18021.65,475941550,23289.86
06-Sep-22,18061.9,18125.05,17955.25,18031.3,633633612,26673.32
07-Sep-22,17906.65,18036.75,17874.65,18008.1,629120244,33568.13
08-Sep-22,18135.85,18178.2,18067.85,18168.85,640331216,31691.32
09-Sep-22,18298.9,18298.9,18148.5,18198.1,625387683,29161.91
12-Sep-22,18257.85,18352.8,18255.55,18319.8,498666726,25730.73
13-Sep-22,18429.05,18471.05,18393.45,18453.7,677479930,31054.33
14-Sep-22,18147.6,18486.95,18147.6,18405.6,817958520,40791.57
15-Sep-22,18459.9,18505.2,18282.75,18316.9,672747588,35045.74
16-Sep-22,18239.15,18259.1,17898.3,17938.1,1046329817,52993.84
19-Sep-22,17958.3,18080.65,17828.75,18025.25,633455394,31892.7
20-Sep-22,18180.9,18329,18161.35,18222.1,599208501,31251.04
21-Sep-22,18180.55,18255.45,18041.15,18091.9,544116980,31655.4
22-Sep-22,17988.5,18111.45,17914.15,18030.4,571313506,30559.46
23-Sep-22,18004.95,18050.1,17686.05,17718.45,683135801,32096.96
26-Sep-22,17549,17576.4,17329.3,17374.8,831865971,37167.46
27-Sep-22,17469.9,17544.15,17290.85,17366.4,651351673,31863.36
28-Sep-22,17229,17401.4,17179.25,17219.55,621529309,29101.16
29-Sep-22,17361.85,17403.55,17139.25,17167.75,747058800,39217.71
30-Sep-22,17146.95,17518.1,17080.65,17438.6,655068180,35737.16
03-Oct-22,17448.7,17469.9,17137.3,17190.9,495344880,29440.96
04-Oct-22,17470.75,17602.05,17444.4,17589.3,431258383,26280.47
06-Oct-22,17700.85,17750.6,17647.4,17662.8,502210149,28450.2
07-Oct-22,17624.6,17660.15,17532.9,17641.45,541688572,24616.71
10-Oct-22,17419.2,17596.15,17380.6,17553.15,450287642,22148.86
11-Oct-22,17582.2,17585.75,17251.15,17285.85,494692294,28506.85
12-Oct-22,17330.8,17440.45,17249.9,17423.4,451989351,24151.61
13-Oct-22,17393,17417.15,17247.4,17302.15,446348804,23069.01
14-Oct-22,17612.85,17620.85,17418.55,17432.55,419109863,23200.22
17-Oct-22,17395.2,17580.25,17335.5,17560.5,396284150,23433.54
18-Oct-22,17685.15,17774,17681.85,17741.2,526689417,25120.21
19-Oct-22,17822.65,17862.05,17721.25,17756.25,405708189,23642.23
20-Oct-22,17670.6,17850.8,17665.9,17829.45,477837828,25037.56
21-Oct-22,17887.95,17915.25,17751.25,17808.8,500352198,30934.45
